,Country,Dates,Recovered
170,Nicaragua,2020-07-10,1993
170,Niger,2020-07-10,978
170,Nigeria,2020-07-10,12795
170,North Macedonia,2020-07-10,3960
170,Norway,2020-07-10,8138
170,Oman,2020-07-10,34225
170,Pakistan,2020-07-10,153134
170,Panama,2020-07-10,21426
170,Papua New Guinea,2020-07-10,8
170,Paraguay,2020-07-10,1256
170,Peru,2020-07-10,210638
170,Philippines,2020-07-10,13230
170,Poland,2020-07-10,26048
170,Portugal,2020-07-10,30350
170,Qatar,2020-07-10,98233
170,Romania,2020-07-10,21129
170,Russia,2020-07-10,488234
170,Rwanda,2020-07-10,635
170,Saint Kitts and Nevis,2020-07-10,15
170,Saint Lucia,2020-07-10,19
170,Saint Vincent and the Grenadines,2020-07-10,29
170,San Marino,2020-07-10,656
170,Sao Tome and Principe,2020-07-10,284
170,Saudi Arabia,2020-07-10,163026
170,Senegal,2020-07-10,5311
170,Serbia,2020-07-10,13719
170,Seychelles,2020-07-10,11
170,Sierra Leone,2020-07-10,1133
170,Singapore,2020-07-10,41780
170,Slovakia,2020-07-10,1481
170,Slovenia,2020-07-10,1429
170,Somalia,2020-07-10,1209
170,South Africa,2020-07-10,118232
170,South Sudan,2020-07-10,333
170,Spain,2020-07-10,150376
170,Sri Lanka,2020-07-10,1980
170,Sudan,2020-07-10,5277
170,Suriname,2020-07-10,481
170,Sweden,2020-07-10,0
170,Switzerland,2020-07-10,29400
170,Syria,2020-07-10,126
170,Taiwan*,2020-07-10,438
170,Tajikistan,2020-07-10,5115
170,Tanzania,2020-07-10,183
170,Thailand,2020-07-10,3087
170,Timor-Leste,2020-07-10,24
170,Togo,2020-07-10,494
170,Trinidad and Tobago,2020-07-10,120
170,Tunisia,2020-07-10,1067
170,Turkey,2020-07-10,191883
170,US,2020-07-10,983185
170,Uganda,2020-07-10,938
170,Ukraine,2020-07-10,25634
170,United Arab Emirates,2020-07-10,43969
170,United Kingdom,2020-07-10,1378
170,Uruguay,2020-07-10,886
170,Uzbekistan,2020-07-10,7530
