,Country,Dates,Confirmed,latitude,longitudes
68,Congo (Kinshasa),2020-03-30,81,-2.9814344,23.8222636
68,Costa Rica,2020-03-30,330,10.2735633,-84.0739102
68,Cote d'Ivoire,2020-03-30,168,7.9897371,-5.5679458
68,Croatia,2020-03-30,790,45.5643442,17.0118954
68,Cuba,2020-03-30,170,23.0131338,-80.8328748
68,Cyprus,2020-03-30,230,34.9823018,33.1451285
68,Czechia,2020-03-30,3001,49.8167003,15.4749544
68,Denmark,2020-03-30,2755,55.670249,10.3333283
68,Diamond Princess,2020-03-30,712,53.8953584,27.5554078
68,Djibouti,2020-03-30,18,11.8145966,42.8453061
68,Dominica,2020-03-30,11,19.0974031,-70.3028026
68,Dominican Republic,2020-03-30,901,19.0974031,-70.3028026
68,Ecuador,2020-03-30,1962,-1.3397668,-79.3666965
68,Egypt,2020-03-30,656,26.2540493,29.2675469
68,El Salvador,2020-03-30,30,13.8000382,-88.9140683
68,Equatorial Guinea,2020-03-30,12,1.613172,10.5170357
68,Eritrea,2020-03-30,12,15.9500319,37.9999668
68,Estonia,2020-03-30,715,58.7523778,25.3319078
68,Eswatini,2020-03-30,9,-26.5624806,31.3991317
68,Ethiopia,2020-03-30,23,10.2116702,38.6521203
68,Fiji,2020-03-30,5,-18.1239696,179.0122737
68,Finland,2020-03-30,1352,63.2467777,25.9209164
68,France,2020-03-30,45170,46.603354,1.8883335
68,Gabon,2020-03-30,7,-0.8999695,11.6899699
68,Gambia,2020-03-30,4,13.470062,-15.4900464
68,Georgia,2020-03-30,103,32.3293809,-83.1137366
68,Germany,2020-03-30,66885,51.0834196,10.4234469
68,Ghana,2020-03-30,152,8.0300284,-1.0800271
68,Greece,2020-03-30,1212,38.9953683,21.9877132
68,Grenada,2020-03-30,9,12.1360374,-61.6904045
68,Guatemala,2020-03-30,36,15.6356088,-89.8988087
68,Guinea,2020-03-30,22,10.7226226,-10.7083587
68,Guinea-Bissau,2020-03-30,8,12.100035,-14.9000214
68,Guyana,2020-03-30,8,4.8417097,-58.6416891
68,Haiti,2020-03-30,15,19.1399952,-72.3570972
68,Holy See,2020-03-30,6,38.9247244,-77.06572732690151
68,Honduras,2020-03-30,139,15.2572432,-86.0755145
68,Hungary,2020-03-30,447,47.1817585,19.5060937
68,Iceland,2020-03-30,1086,64.9841821,-18.1059013
68,India,2020-03-30,1251,22.3511148,78.6677428
68,Indonesia,2020-03-30,1414,-2.4833826,117.8902853
68,Iran,2020-03-30,41495,32.6475314,54.5643516
68,Iraq,2020-03-30,630,33.0955793,44.1749775
68,Ireland,2020-03-30,2910,52.865196,-7.9794599
68,Israel,2020-03-30,4695,31.5313113,34.8667654
68,Italy,2020-03-30,101739,42.6384261,12.674297
68,Jamaica,2020-03-30,36,18.1152958,-77.1598454610168
68,Japan,2020-03-30,1866,36.5748441,139.2394179
68,Jordan,2020-03-30,268,31.1667049,36.941628
68,Kazakhstan,2020-03-30,302,47.2286086,65.2093197
68,Kenya,2020-03-30,50,1.4419683,38.4313975
68,"Korea, South",2020-03-30,9661,35.7724185,127.79654346305617
68,Kosovo,2020-03-30,94,42.5869578,20.9021231
68,Kuwait,2020-03-30,266,29.2733964,47.4979476
68,Kyrgyzstan,2020-03-30,94,41.5089324,74.724091
68,Laos,2020-03-30,8,20.0171109,103.378253
68,Latvia,2020-03-30,376,56.8406494,24.7537645
68,Lebanon,2020-03-30,446,33.8750629,35.843409
68,Liberia,2020-03-30,3,5.7499721,-9.3658524
