,Dates,Country,Confirmed Cases,Deaths,Confirmed Cases (Scaled for purpose of graph)
262,2020-04-21,Angola,24,2,3.8716347563877314
263,2020-04-24,Angola,25,2,3.9124227656412556
264,2020-04-27,Angola,27,2,3.989326805819546
265,2020-04-30,Angola,27,2,3.989326805819546
266,2020-05-03,Angola,35,2,4.248699261236361
267,2020-05-06,Angola,36,2,4.276858964458208
268,2020-05-09,Angola,43,2,4.45448247706051
269,2020-05-12,Angola,45,2,4.49993310426429
270,2020-05-15,Angola,48,2,4.564456680755902
271,2020-05-18,Angola,50,3,4.605270170991424
272,2020-05-21,Angola,58,3,4.753664499113497
273,2020-05-24,Angola,69,4,4.927306190998636
274,2020-05-27,Angola,71,4,4.9558766472470746
275,2020-05-30,Angola,84,4,5.123999408359393
276,2020-06-02,Angola,86,4,5.147528277154878
277,2020-06-05,Angola,86,4,5.147528277154878
278,2020-06-08,Angola,92,4,5.214965293162436
279,2020-06-11,Angola,118,5,5.463849759152821
280,2020-06-14,Angola,140,6,5.634802358027258
281,2020-06-17,Angola,155,7,5.736582703144037
282,2020-06-20,Angola,176,9,5.863639246264856
283,2020-06-23,Angola,189,10,5.934901194230364
284,2020-06-26,Angola,212,10,6.049739017663296
285,2020-06-29,Angola,276,11,6.313551328134495
286,2020-07-02,Angola,315,17,6.445722338902385
287,2020-07-05,Angola,346,19,6.539588043886714
288,2020-07-08,Angola,386,21,6.648986227917947
289,2020-07-11,Angola,462,23,6.828713242907031
290,2020-01-22,Antigua and Barbuda,0,0,0.0
291,2020-01-25,Antigua and Barbuda,0,0,0.0
292,2020-01-28,Antigua and Barbuda,0,0,0.0
293,2020-01-31,Antigua and Barbuda,0,0,0.0
294,2020-02-03,Antigua and Barbuda,0,0,0.0
295,2020-02-06,Antigua and Barbuda,0,0,0.0
296,2020-02-09,Antigua and Barbuda,0,0,0.0
297,2020-02-12,Antigua and Barbuda,0,0,0.0
298,2020-02-15,Antigua and Barbuda,0,0,0.0
299,2020-02-18,Antigua and Barbuda,0,0,0.0
300,2020-02-21,Antigua and Barbuda,0,0,0.0
301,2020-02-24,Antigua and Barbuda,0,0,0.0
302,2020-02-27,Antigua and Barbuda,0,0,0.0
303,2020-03-01,Antigua and Barbuda,0,0,0.0
304,2020-03-04,Antigua and Barbuda,0,0,0.0
305,2020-03-07,Antigua and Barbuda,0,0,0.0
306,2020-03-10,Antigua and Barbuda,0,0,0.0
307,2020-03-13,Antigua and Barbuda,1,0,0.881373587019543
308,2020-03-16,Antigua and Barbuda,1,0,0.881373587019543
309,2020-03-19,Antigua and Barbuda,1,0,0.881373587019543
310,2020-03-22,Antigua and Barbuda,1,0,0.881373587019543
311,2020-03-25,Antigua and Barbuda,3,0,1.8184464592320668
312,2020-03-28,Antigua and Barbuda,7,0,2.644120761058629
313,2020-03-31,Antigua and Barbuda,7,0,2.644120761058629
314,2020-04-03,Antigua and Barbuda,15,0,3.4023066454805946
315,2020-04-06,Antigua and Barbuda,15,0,3.4023066454805946
316,2020-04-09,Antigua and Barbuda,19,2,3.6382779622295387
317,2020-04-12,Antigua and Barbuda,21,2,3.7382360302615427
318,2020-04-15,Antigua and Barbuda,23,2,3.8291136516208812
319,2020-04-18,Antigua and Barbuda,23,3,3.8291136516208812
320,2020-04-21,Antigua and Barbuda,23,3,3.8291136516208812
321,2020-04-24,Antigua and Barbuda,24,3,3.8716347563877314
322,2020-04-27,Antigua and Barbuda,24,3,3.8716347563877314
323,2020-04-30,Antigua and Barbuda,24,3,3.8716347563877314
324,2020-05-03,Antigua and Barbuda,25,3,3.9124227656412556
325,2020-05-06,Antigua and Barbuda,25,3,3.9124227656412556
326,2020-05-09,Antigua and Barbuda,25,3,3.9124227656412556
327,2020-05-12,Antigua and Barbuda,25,3,3.9124227656412556
328,2020-05-15,Antigua and Barbuda,25,3,3.9124227656412556
329,2020-05-18,Antigua and Barbuda,25,3,3.9124227656412556
330,2020-05-21,Antigua and Barbuda,25,3,3.9124227656412556
331,2020-05-24,Antigua and Barbuda,25,3,3.9124227656412556
332,2020-05-27,Antigua and Barbuda,25,3,3.9124227656412556
